Conservativity violations - Summary
Alignment	Original size	Result size	Violations	Correction time	Detection time
conference.edas-sigkdd.rdf	15	13	2(1)	0.00443	0.00836(0.00929)
conference.cmt-confOf.rdf	16	14	7(3)	0.00526	0.00983(0.00843)
conference.cmt-ekaw.rdf	11	9	1(0)	0.00235	0.00402(0.00656)
conference.conference-iasted.rdf	14	12	9(7)	0.00404	0.00967(0.02302)
conference.conference-edas.rdf	17	13	9(5)	0.00658	0.00778(0.01513)
conference.cmt-sigkdd.rdf	12	10	1(0)	0.00536	0.00387(0.00285)
conference.cmt-conference.rdf	15	13	1(0)	0.00463	0.00628(0.00495)
conference.iasted-sigkdd.rdf	15	13	7(6)	0.00469	0.00618(0.01596)
conference.confOf-ekaw.rdf	20	16	6(1)	0.00695	0.00976(0.01339)
conference.conference-confOf.rdf	15	15	0(0)	0.00534	0.00838(0.00000)
conference.ekaw-iasted.rdf	10	10	0(0)	0.00247	0.00294(0.00000)
conference.cmt-iasted.rdf	4	4	0(0)	0.00050	0.00057(0.00000)
conference.conference-ekaw.rdf	25	23	1(0)	0.01496	0.01608(0.00246)
library.stw-thesoz.rdf	3161	1183	39105(28938)	159.84797	450.59762(1216.99813)
conference.confOf-edas.rdf	19	17	2(1)	0.00723	0.00840(0.05517)
conference.confOf-iasted.rdf	9	9	0(0)	0.00193	0.00227(0.00000)
conference.edas-ekaw.rdf	23	17	4(1)	0.00800	0.01195(0.12189)
conference.cmt-edas.rdf	13	11	3(1)	0.00372	0.00422(0.08109)
anat.mouse-human.rdf	1516	1182	1337(528)	52.52724	69.11910(76.92673)
conference.ekaw-sigkdd.rdf	11	11	0(0)	0.00291	0.00340(0.00000)
conference.edas-iasted.rdf	19	15	9(4)	0.00664	0.00940(0.24339)
conference.confOf-sigkdd.rdf	7	7	0(0)	0.00123	0.00131(0.00000)
conference.conference-sigkdd.rdf	15	15	0(0)	0.00508	0.00542(0.00000)
